"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10" "d11"
806 0.137610908262473 0 0 1 1 0 0 0 0 28 776 0
807 0.136328808182431 0 0 1 1 0 0 0 0 27 778 0
808 0.135046502793844 0 0 1 1 0 0 0 0 26 780 0
809 0.133764005372196 0 0 1 1 0 0 0 0 25 782 0
810 0.132481329065691 0 0 1 1 0 0 0 0 24 784 0
811 0.13119848689642 0 0 1 1 0 0 0 0 23 786 0
812 0.129915491761508 0 0 1 1 0 0 0 0 22 788 0
813 0.128632356434265 0 0 1 1 0 0 0 0 21 790 0
814 0.12734909356531 0 0 1 1 0 0 0 0 20 792 0
815 0.126065715683692 0 0 1 1 0 0 0 0 19 794 0
816 0.124782235198001 0 0 1 1 0 0 0 0 18 796 0
817 0.123498664397466 0 0 1 1 0 0 0 0 17 798 0
818 0.12221501545304 0 0 1 1 0 0 0 0 16 800 0
819 0.12093130041848 0 0 1 1 0 0 0 0 15 802 0
820 0.11964753123141 0 0 1 1 0 0 0 0 14 804 0
821 0.118363719714379 0 0 1 1 0 0 0 0 13 806 0
822 0.117079877575908 0 0 1 1 0 0 0 0 12 808 0
823 0.115796016411522 0 0 1 1 0 0 0 0 11 810 0
824 0.114512147704779 0 0 1 1 0 0 0 0 10 812 0
825 0.113228282828283 0 0 1 1 0 0 0 0 9 814 0
826 0.111944433044692 0 0 1 1 0 0 0 0 8 816 0
827 0.110660609507712 0 0 1 1 0 0 0 0 7 818 0
828 0.109376823263087 0 0 1 1 0 0 0 0 6 820 0
829 0.10809308524957 0 0 1 1 0 0 0 0 5 822 0
830 0.106809406299898 0 0 1 1 0 0 0 0 4 824 0
831 0.105525797141744 0 0 1 1 0 0 0 0 3 826 0
832 0.104242268398669 0 0 1 1 0 0 0 0 2 828 0
833 0.10295883059106 0 0 1 1 0 0 0 0 1 830 0
834 0.101675494137064 0 0 1 1 0 0 0 0 0 832 0
835 0.104018071641149 0 0 1 1 0 0 0 0 0 831 2
836 0.106343433071587 0 0 1 1 0 0 0 0 0 830 4
837 0.108651681704443 0 0 1 1 0 0 0 0 0 829 6
838 0.110942920124629 0 0 1 1 0 0 0 0 0 828 8
839 0.113217250231205 0 0 1 1 0 0 0 0 0 827 10
840 0.11547477324263 0 0 1 1 0 0 0 0 0 826 12
841 0.115781422093906 0 0 1 0 1 0 0 0 25 814 0
842 0.11456152921728 0 0 1 0 1 0 0 0 24 816 0
843 0.113341466743779 0 0 1 0 1 0 0 0 23 818 0
844 0.112121246153501 0 0 1 0 1 0 0 0 22 820 0
845 0.11090087882077 0 0 1 0 1 0 0 0 21 822 0
846 0.109680376015067 0 0 1 0 1 0 0 0 20 824 0
847 0.108459748901951 0 0 1 0 1 0 0 0 19 826 0
848 0.107239008543966 0 0 1 0 1 0 0 0 18 828 0
849 0.106018165901546 0 0 1 0 1 0 0 0 17 830 0
850 0.10479723183391 0 0 1 0 1 0 0 0 16 832 0
851 0.103576217099949 0 0 1 0 1 0 0 0 15 834 0
852 0.1023551323591 0 0 1 0 1 0 0 0 14 836 0
853 0.101133988172219 0 0 1 0 1 0 0 0 13 838 0
854 0.0999127950024406 0 0 1 0 1 0 0 0 12 840 0
855 0.0986915632160323 0 0 1 0 1 0 0 0 11 842 0
856 0.0974703030832387 0 0 1 0 1 0 0 0 10 844 0
857 0.0962490247791201 0 0 1 0 1 0 0 0 9 846 0
858 0.0950277383843817 0 0 1 0 1 0 0 0 8 848 0
859 0.0938064538861957 0 0 1 0 1 0 0 0 7 850 0
860 0.0925851811790157 0 0 1 0 1 0 0 0 6 852 0
861 0.0913639300653833 0 0 1 0 1 0 0 0 5 854 0
862 0.0901427102567277 0 0 1 0 1 0 0 0 4 856 0
863 0.0889215313741576 0 0 1 0 1 0 0 0 3 858 0
864 0.0877004029492455 0 0 1 0 1 0 0 0 2 860 0
865 0.0864793344248054 0 0 1 0 1 0 0 0 1 862 0
866 0.0852583351556625 0 0 1 0 1 0 0 0 0 864 0
867 0.0875255591075563 0 0 1 0 1 0 0 0 0 863 2
868 0.0881416041963091 0 0 1 0 0 0 0 0 29 838 0
869 0.0869854243002486 0 0 1 0 0 0 0 0 28 840 0
870 0.0858290395032369 0 0 1 0 0 0 0 0 27 842 0
871 0.0846724603600385 0 0 1 0 0 0 0 0 26 844 0
872 0.0835156973318744 0 0 1 0 0 0 0 0 25 846 0
873 0.0823587607872158 0 0 1 0 0 0 0 0 24 848 0
874 0.0812016610025711 0 0 1 0 0 0 0 0 23 850 0
875 0.0800444081632653 0 0 1 0 0 0 0 0 22 852 0
876 0.0788870123642126 0 0 1 0 0 0 0 0 21 854 0
877 0.0777294836106817 0 0 1 0 0 0 0 0 20 856 0
878 0.0765718318190545 0 0 1 0 0 0 0 0 19 858 0
879 0.0754140668175776 0 0 1 0 0 0 0 0 18 860 0
880 0.0742561983471074 0 0 1 0 0 0 0 0 17 862 0
881 0.073098236061848 0 0 1 0 0 0 0 0 16 864 0
882 0.0719401895300826 0 0 1 0 0 0 0 0 15 866 0
883 0.0707820682348988 0 0 1 0 0 0 0 0 14 868 0
884 0.0696238815749063 0 0 1 0 0 0 0 0 13 870 0
885 0.0684656388649494 0 0 1 0 0 0 0 0 12 872 0
886 0.0673073493368119 0 0 1 0 0 0 0 0 11 874 0
887 0.0661490221399165 0 0 1 0 0 0 0 0 10 876 0
888 0.0649906663420177 0 0 1 0 0 0 0 0 9 878 0
889 0.063832290929888 0 0 1 0 0 0 0 0 8 880 0
890 0.0626739048099987 0 0 1 0 0 0 0 0 7 882 0
891 0.0615155168091943 0 0 1 0 0 0 0 0 6 884 0
892 0.0603571356753605 0 0 1 0 0 0 0 0 5 886 0
893 0.0591987700780865 0 0 1 0 0 0 0 0 4 888 0
894 0.0580404286093219 0 0 1 0 0 0 0 0 3 890 0
895 0.0568821197840267 0 0 1 0 0 0 0 0 2 892 0
896 0.0557238520408163 0 0 1 0 0 0 0 0 1 894 0
897 0.0545656337426004 0 0 1 0 0 0 0 0 0 896 0
898 0.0567618712208768 0 0 1 0 0 0 0 0 0 895 2
899 0.0589432579271743 0 0 1 0 0 0 0 0 0 894 4
900 0.0611098765432099 0 0 1 0 0 0 0 0 0 893 6
901 0.0632618092365002 0 0 1 0 0 0 0 0 0 892 8
902 0.0653991376640234 0 0 1 0 0 0 0 0 0 891 10
903 0.0675219429758563 0 0 1 0 0 0 0 0 0 890 12
904 0.0696303058187797 0 0 1 0 0 0 0 0 0 889 14
905 0.0717243063398554 0 0 1 0 0 0 0 0 0 888 16
906 0.0738040241899721 0 0 1 0 0 0 0 0 0 887 18
907 0.0758695385273672 0 0 1 0 0 0 0 0 0 886 20
908 0.0779209280211144 0 0 1 0 0 0 0 0 0 885 22
909 0.0799582708545882 0 0 1 0 0 0 0 0 0 884 24
910 0.0819816447288976 0 0 1 0 0 0 0 0 0 883 26
911 0.0839911268662921 0 0 1 0 0 0 0 0 0 882 28
912 0.0856116785934134 0 0 0 1 1 0 0 0 18 892 0
913 0.0844921056325271 0 0 0 1 1 0 0 0 17 894 0
914 0.0833724365450637 0 0 0 1 1 0 0 0 16 896 0
915 0.0822526799844725 0 0 0 1 1 0 0 0 15 898 0
916 0.0811328445300433 0 0 0 1 1 0 0 0 14 900 0
917 0.0800129386875081 0 0 0 1 1 0 0 0 13 902 0
918 0.0788929708896388 0 0 0 1 1 0 0 0 12 904 0
919 0.0777729494968392 0 0 0 1 1 0 0 0 11 906 0
920 0.0766528827977316 0 0 0 1 1 0 0 0 10 908 0
921 0.075532779009739 0 0 0 1 1 0 0 0 9 910 0
922 0.0744126462796618 0 0 0 1 1 0 0 0 8 912 0
923 0.0732924926842495 0 0 0 1 1 0 0 0 7 914 0
924 0.0721723262307678 0 0 0 1 1 0 0 0 6 916 0
925 0.0710521548575603 0 0 0 1 1 0 0 0 5 918 0
926 0.0699319864346057 0 0 0 1 1 0 0 0 4 920 0
927 0.0688118287640706 0 0 0 1 1 0 0 0 3 922 0
928 0.0676916895808561 0 0 0 1 1 0 0 0 2 924 0
929 0.0665715765531417 0 0 0 1 1 0 0 0 1 926 0
930 0.0654514972829229 0 0 0 1 1 0 0 0 0 928 0
931 0.0675757215656911 0 0 0 1 1 0 0 0 0 927 2
932 0.0683322127871208 0 0 0 1 0 0 0 0 29 902 0
933 0.0672679379061654 0 0 0 1 0 0 0 0 28 904 0
934 0.0662034765623209 0 0 0 1 0 0 0 0 27 906 0
935 0.0651388372558552 0 0 0 1 0 0 0 0 26 908 0
936 0.0640740284169771 0 0 0 1 0 0 0 0 25 910 0
937 0.0630090584063902 0 0 0 1 0 0 0 0 24 912 0
938 0.0619439355158414 0 0 0 1 0 0 0 0 23 914 0
939 0.0608786679686658 0 0 0 1 0 0 0 0 22 916 0
