"n" "Min_V" "d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10"
430 0.124526771227691 0 0 1 0 0 0 0 19 410 0
431 0.122189264700341 0 0 1 0 0 0 0 18 412 0
432 0.119850608710562 0 0 1 0 0 0 0 17 414 0
433 0.117510893972446 0 0 1 0 0 0 0 16 416 0
434 0.115170209603092 0 0 1 0 0 0 0 15 418 0
435 0.11282864314969 0 0 1 0 0 0 0 14 420 0
436 0.11048628061611 0 0 1 0 0 0 0 13 422 0
437 0.108143206489011 0 0 1 0 0 0 0 12 424 0
438 0.105799503763474 0 0 1 0 0 0 0 11 426 0
439 0.103455253968172 0 0 1 0 0 0 0 10 428 0
440 0.101110537190083 0 0 1 0 0 0 0 9 430 0
441 0.0987654320987654 0 0 1 0 0 0 0 8 432 0
442 0.096420015970189 0 0 1 0 0 0 0 7 434 0
443 0.0940743647101386 0 0 1 0 0 0 0 6 436 0
444 0.0917285528772015 0 0 1 0 0 0 0 5 438 0
445 0.0893826537053402 0 0 1 0 0 0 0 4 440 0
446 0.0870367391260633 0 0 1 0 0 0 0 3 442 0
447 0.0846908797901997 0 0 1 0 0 0 0 2 444 0
448 0.0823451450892857 0 0 1 0 0 0 0 1 446 0
449 0.0799996031765716 0 0 1 0 0 0 0 0 448 0
450 0.0843654320987655 0 0 1 0 0 0 0 0 447 2
451 0.0886721304221711 0 0 1 0 0 0 0 0 446 4
452 0.0929203539823009 0 0 1 0 0 0 0 0 445 6
453 0.0971107505031455 0 0 1 0 0 0 0 0 444 8
454 0.101243959712007 0 0 1 0 0 0 0 0 443 10
455 0.105320613452482 0 0 1 0 0 0 0 0 442 12
456 0.105320867959372 0 0 0 1 0 0 0 25 430 0
457 0.103194173781057 0 0 0 1 0 0 0 24 432 0
458 0.101065959840583 0 0 0 1 0 0 0 23 434 0
459 0.0989363065487633 0 0 0 1 0 0 0 22 436 0
460 0.0968052930056711 0 0 0 1 0 0 0 21 438 0
461 0.0946729970214708 0 0 0 1 0 0 0 20 440 0
462 0.0925394951368977 0 0 0 1 0 0 0 19 442 0
